marker,chr,pos,lod
D1Mit296,1,3.3,0.409813526488165
c1.loc1,1,4.3,0.423419697389249
c1.loc2,1,5.3,0.435949348855104
c1.loc3,1,6.3,0.447111625281934
c1.loc4,1,7.3,0.456633258324985
c1.loc5,1,8.3,0.464253689591885
c1.loc6,1,9.3,0.469761768688386
c1.loc7,1,10.3,0.472993257142832
c1.loc8,1,11.3,0.473842624349118
c1.loc9,1,12.3,0.472269112903916
c1.loc10,1,13.3,0.468299907185383
c1.loc11,1,14.3,0.46203025755625
c1.loc12,1,15.3,0.453617075779732
c1.loc13,1,16.3,0.443287255586029
c1.loc14,1,17.3,0.431301451459262
c1.loc15,1,18.3,0.417960931693642
c1.loc16,1,19.3,0.403584789750141
D1Mit123,1,19.7000000001,0.39761731053045
c1.loc17,1,20.3,0.448597757171171
c1.loc18,1,21.3,0.540657223480878
c1.loc19,1,22.3,0.640469949807482
c1.loc20,1,23.3,0.746322096610413
c1.loc21,1,24.3,0.856154478818269
c1.loc22,1,25.3,0.967756764031947
c1.loc23,1,26.3,1.07897385304113
c1.loc24,1,27.3,1.18785742977997
c1.loc25,1,28.3,1.2927628201586
c1.loc26,1,29.3,1.3923776355785
c1.loc27,1,30.3,1.48571891251402
c1.loc28,1,31.3,1.57210168118769
c1.loc29,1,32.3,1.65109991091555
D1Mit156,1,32.8000000002,1.68775775340202
c1.loc30,1,33.3,1.69960770716455
c1.loc31,1,34.3,1.68801862124803
D1Mit178,1,35.0000000003,1.65463371433322
c1.loc32,1,35.3,1.84544669292461
c1.loc33,1,36.3,2.45831346637306
D1Mit19,1,37.2000000004,2.94038233455683
c1.loc34,1,37.3,2.94704822972352
c1.loc35,1,38.3,3.00776879783007
c1.loc36,1,39.3,3.05803333134611
c1.loc37,1,40.3,3.09825293911257
c1.loc38,1,41.3,3.12868644222198
D1Mit7,1,41.5000000005,3.13360843603863
c1.loc39,1,42.3,3.23104824917749
c1.loc40,1,43.3,3.31693239986311
D1Mit46,1,43.7000000006,3.34143955808901
D1Mit132,1,43.7000000007,3.34143955948326
c1.loc41,1,44.3,3.3859305289111
c1.loc42,1,45.3,3.44565018722017
c1.loc43,1,46.3,3.48851105864617
c1.loc44,1,47.3,3.51544260382423
c1.loc45,1,48.3,3.52692003145876
D1Mit334,1,49.2000000008,3.52408764334979
c1.loc46,1,49.3,3.50854796734268
c1.loc47,1,50.3,3.32931906289383
c1.loc48,1,51.3,3.10479726921142
c1.loc49,1,52.3,2.8313651190586
c1.loc50,1,53.3,2.50653269466864
c1.loc51,1,54.3,2.13581197885725
D1Mit305,1,54.6000000009,2.01879200895559
c1.loc52,1,55.3,2.07313313205827
c1.loc53,1,56.3,2.1396060823696
c1.loc54,1,57.3,2.1923384704964
c1.loc55,1,58.3,2.23120481868108
c1.loc56,1,59.3,2.25643282046542
c1.loc57,1,60.3,2.26842715057677
c1.loc58,1,61.3,2.26767762510508
c1.loc59,1,62.3,2.25472776500106
c1.loc60,1,63.3,2.2301843800538
c1.loc61,1,64.3,2.19475565172615
D1Mit26,1,64.500000001,2.18643639286296
c1.loc62,1,65.3,2.55688187910511
c1.loc63,1,66.3,2.8920282018384
c1.loc64,1,67.3,3.12518140977664
D1Mit94,1,67.8000000011,3.21190391871352
c1.loc65,1,68.3,3.19480424647486
c1.loc66,1,69.3,3.08633638959611
D1Mit218,1,69.9000000012,2.97523079169025
c1.loc67,1,70.3,3.05710441903773
c1.loc68,1,71.3,3.2090108906358
c1.loc69,1,72.3,3.28500851991669
c1.loc70,1,73.3,3.28913427661433
c1.loc71,1,74.3,3.22750606968708
D1Mit100,1,74.3000000013,3.22750606956731
c1.loc72,1,75.3,3.25565659246871
D1Mit102,1,75.4000000014,3.25799260981745
c1.loc73,1,76.3,3.39350356194092
c1.loc74,1,77.3,3.47584270579927
c1.loc75,1,78.3,3.48861141020922
c1.loc76,1,79.3,3.4367666734201
c1.loc77,1,80.3,3.32642631362967
c1.loc78,1,81.3,3.16532960255591
D1Mit14,1,82.0000000015,3.02780217518892
D1Mit105,1,82.0000000016,3.02780216930762
D1Mit159,1,82.0000000017,3.0278024613566
D1Mit267,1,82.0000000018,3.02780245951175
c1.loc79,1,82.3,2.95939853964347
c1.loc80,1,83.3,2.69177372338277
c1.loc81,1,84.3,2.36341917430553
c1.loc82,1,85.3,1.98178649470958
c1.loc83,1,86.3,1.57233968803575
D1Mit15,1,86.3000000019,1.57233968725927
c1.loc84,1,87.3,1.54859320126587
c1.loc85,1,88.3,1.52198465603504
c1.loc86,1,89.3,1.49219717649163
c1.loc87,1,90.3,1.45886541342685
c1.loc88,1,91.3,1.42157468274019
c1.loc89,1,92.3,1.37986984110785
c1.loc90,1,93.3,1.33328816968873
D1Mit456,1,94.000000002,1.29756124729687
c1.loc91,1,94.3,1.28905980635443
c1.loc92,1,95.3,1.25848245981166
c1.loc93,1,96.3,1.22449179521664
c1.loc94,1,97.3,1.18716903333575
c1.loc95,1,98.3,1.14664554068031
c1.loc96,1,99.3,1.10309819968842
c1.loc97,1,100.3,1.05675397178652
c1.loc98,1,101.3,1.007886873963
c1.loc99,1,102.3,0.956817761688171
c1.loc100,1,103.3,0.903912722262532
c1.loc101,1,104.3,0.849580099854165
c1.loc102,1,105.3,0.794265600411904
c1.loc103,1,106.3,0.738445002790627
c1.loc104,1,107.3,0.682614200586102
c1.loc105,1,108.3,0.627276624772946
c1.loc106,1,109.3,0.5729285243699
c1.loc107,1,110.3,0.520043041045312
c1.loc108,1,111.3,0.469054395560818
c1.loc109,1,112.3,0.420341108209584
c1.loc110,1,113.3,0.37422658182436
c1.loc111,1,114.3,0.33095155255171
c1.loc112,1,115.3,0.290687723356768
D1Mit155,1,115.8000000021,0.271718784184259
D2Mit359,2,7.7,0.23401215665416
c2.loc1,2,8.7,0.273851518129561
c2.loc2,2,9.7,0.315555640391665
c2.loc3,2,10.7,0.35771901592824
c2.loc4,2,11.7,0.398753041638258
c2.loc5,2,12.7,0.43712609388524
c2.loc6,2,13.7,0.471522004451742
c2.loc7,2,14.7,0.500965193234435
c2.loc8,2,15.7,0.524871757901394
c2.loc9,2,16.7,0.543042077054395
D2Mit82,2,17.5000000001,0.553536145310545
c2.loc10,2,17.7,0.56038212608911
c2.loc11,2,18.7,0.594324293626244
c2.loc12,2,19.7,0.627447850155647
c2.loc13,2,20.7,0.659301956325123
c2.loc14,2,21.7,0.689458738255439
c2.loc15,2,22.7,0.717540483382436
c2.loc16,2,23.7,0.743226018382302
c2.loc17,2,24.7,0.766259856618035
c2.loc18,2,25.7,0.786454406452492
c2.loc19,2,26.7,0.803696090569815
c2.loc20,2,27.7,0.817932928618347
c2.loc21,2,28.7,0.829177830443371
D2Mit241,2,29.5000000002,0.836065032190504
c2.loc22,2,29.7,0.846781069285157
c2.loc23,2,30.7,0.900787725027271
c2.loc24,2,31.7,0.954976249157255
c2.loc25,2,32.7,1.00855946450099
c2.loc26,2,33.7,1.06070202682224
c2.loc27,2,34.7,1.11055672691009
c2.loc28,2,35.7,1.15730239428609
c2.loc29,2,36.7,1.2001783819905
c2.loc30,2,37.7,1.23850143144404
c2.loc31,2,38.7,1.27169387771551
c2.loc32,2,39.7,1.29928701457169
c2.loc33,2,40.7,1.32092817782052
c2.loc34,2,41.7,1.33638265999497
c2.loc35,2,42.7,1.34554112269728
c2.loc36,2,43.7,1.34841454738699
c2.loc37,2,44.7,1.34514462081813
c2.loc38,2,45.7,1.33600651848866
c2.loc39,2,46.7,1.32141107360155
c2.loc40,2,47.7,1.30190186596104
c2.loc41,2,48.7,1.27814047988119
D2Mit14,2,49.2000000003,1.26489822952959
c2.loc42,2,49.7,1.35398976780192
c2.loc43,2,50.7,1.50495357851963
c2.loc44,2,51.7,1.59591749119744
c2.loc45,2,52.7,1.61023161198477
c2.loc46,2,53.7,1.54894069082167
D2Mit62,2,54.6000000004,1.44358974777498
c2.loc47,2,54.7,1.44676459419634
c2.loc48,2,55.7,1.47442932432688
c2.loc49,2,56.7,1.49370740193632
c2.loc50,2,57.7,1.50341137955337
c2.loc51,2,58.7,1.5026429587075
c2.loc52,2,59.7,1.49082931587617
c2.loc53,2,60.7,1.46775018122577
c2.loc54,2,61.7,1.43356025579681
c2.loc55,2,62.7,1.38881309165203
c2.loc56,2,63.7,1.33447890344735
c2.loc57,2,64.7,1.27193976498808
c2.loc58,2,65.7,1.20294357102148
c2.loc59,2,66.7,1.12949302205016
D2Mit280,2,66.7000000005,1.12949302201241
c2.loc60,2,67.7,1.02650097063383
c2.loc61,2,68.7,0.922951449405502
c2.loc62,2,69.7,0.819644557449806
c2.loc63,2,70.7,0.717516047186166
c2.loc64,2,71.7,0.617632661478751
c2.loc65,2,72.7,0.521188615431583
c2.loc66,2,73.7,0.429477301218355
c2.loc67,2,74.7,0.343848270340743
c2.loc68,2,75.7,0.265642889635615
c2.loc69,2,76.7,0.196105568609028
c2.loc70,2,77.7,0.136322256267079
c2.loc71,2,78.7,0.0870889345565047
c2.loc72,2,79.7,0.0488829906872752
c2.loc73,2,80.7,0.0218240758306365
c2.loc74,2,81.7,0.00571150939094878
c2.loc75,2,82.7,0.0000253290135105999
c2.loc76,2,83.7,0.00403525754580869
c2.loc77,2,84.7,0.0168582991230437
D2Mit229,2,85.2000000006,0.0262744564798254
c2.loc78,2,85.7,0.0273518916952753
c2.loc79,2,86.7,0.0295487230136473
c2.loc80,2,87.7,0.0317825194422312
c2.loc81,2,88.7,0.034027964345114
c2.loc82,2,89.7,0.0362576057736419
c2.loc83,2,90.7,0.0384486232476888
c2.loc84,2,91.7,0.0405619575539049
c2.loc85,2,92.7,0.0425744986077916
c2.loc86,2,93.7,0.0444611656515121
c2.loc87,2,94.7,0.0462004020187692
c2.loc88,2,95.7,0.0477749930211075
c2.loc89,2,96.7,0.0491692991945456
c2.loc90,2,97.7,0.0503839196365448
D2Mit266,2,98.4000000007,0.0511228685666651
D3Mit164,3,2.2,0.0325534556280331
c3.loc1,3,3.2,0.0146721593237658
c3.loc2,3,4.2,0.0031781485830038
c3.loc3,3,5.2,0.000181638017295427
c3.loc4,3,6.2,0.00770719021534205
c3.loc5,3,7.2,0.0273225539313557
c3.loc6,3,8.2,0.0596074810543996
c3.loc7,3,9.2,0.103830317709765
c3.loc8,3,10.2,0.15795707188164
c3.loc9,3,11.2,0.219014656913998
c3.loc10,3,12.2,0.283700393990159
c3.loc11,3,13.2,0.348935369116248
c3.loc12,3,14.2,0.412204383567143
c3.loc13,3,15.2,0.471695662539901
c3.loc14,3,16.2,0.526243590399474
c3.loc15,3,17.2,0.575256220623942
D3Mit6,3,17.5000000001,0.588847844156021
c3.loc16,3,18.2,0.600774337103189
c3.loc17,3,19.2,0.617700110928013
c3.loc18,3,20.2,0.634392308655663
c3.loc19,3,21.2,0.650732536825387
c3.loc20,3,22.2,0.666597162850735
c3.loc21,3,23.2,0.681860183683227
c3.loc22,3,24.2,0.696394731737769
c3.loc23,3,25.2,0.710075330348445
c3.loc24,3,26.2,0.722780117094487
c3.loc25,3,27.2,0.734393100439263
c3.loc26,3,28.2,0.744806416080394
c3.loc27,3,29.2,0.753922555391398
c3.loc28,3,30.2,0.761656540003173
c3.loc29,3,31.2,0.767938011723174
c3.loc30,3,32.2,0.772713194723281
c3.loc31,3,33.2,0.775946667661572
c3.loc32,3,34.2,0.777622859481482
c3.loc33,3,35.2,0.777747158584759
c3.loc34,3,36.2,0.776346507786798
c3.loc35,3,37.2,0.773469355567954
D3Mit11,3,37.2000000002,0.773469355567158
c3.loc36,3,38.2,0.543883296572631
c3.loc37,3,39.2,0.336450433851155
c3.loc38,3,40.2,0.166797064436707
c3.loc39,3,41.2,0.0513874932727276
c3.loc40,3,42.2,0.00175468465840822
c3.loc41,3,43.2,0.0190589209071277
c3.loc42,3,44.2,0.0943298205802421
D3Mit14,3,44.8000000003,0.161585968729753
c3.loc43,3,45.2,0.159432400894616
c3.loc44,3,46.2,0.153992926650346
c3.loc45,3,47.2,0.148487467023756
c3.loc46,3,48.2,0.142926809961352
c3.loc47,3,49.2,0.13732821005658
c3.loc48,3,50.2,0.131707935612894
c3.loc49,3,51.2,0.126082801209009
c3.loc50,3,52.2,0.120469981217354
c3.loc51,3,53.2,0.114886807970493
c3.loc52,3,54.2,0.109350559188726
c3.loc53,3,55.2,0.10387824002737
c3.loc54,3,56.2,0.0984839333409013
